Scenario,Method,Sample_Size,Run_ID,F1 Score,SHD
Measured1,RLCD,2000,1,0.7692307692307693,6
Measured1,LaHME,2000,1,0,27
Measured2,RLCD,2000,1,0.41666666666666663,16
Measured2,LaHME,2000,1,0,26
Simple_Case_Tree,RLCD,2000,1,0.8,5
Simple_Case_Tree,LaHME,2000,1,0.4166666666666667,14
Tree_Case_Flexible,RLCD,2000,1,1,0
Tree_Case_Flexible,LaHME,2000,1,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,2000,1,0.7272727272727272,9
Latent_Hierarchical_Structure,LaHME,2000,1,0.2,24
LLCM_Flexible,RLCD,2000,1,0.5,23
Measured1,RLCD,5000,1,0.7692307692307693,6
Measured1,LaHME,5000,1,0,29
Measured2,RLCD,5000,1,0.41666666666666663,16
Measured2,LaHME,5000,1,0,26
Simple_Case_Tree,RLCD,5000,1,0.8,5
Simple_Case_Tree,LaHME,5000,1,0.4166666666666667,14
Tree_Case_Flexible,RLCD,5000,1,1,0
Tree_Case_Flexible,LaHME,5000,1,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,5000,1,0.7272727272727272,9
Latent_Hierarchical_Structure,LaHME,5000,1,0.5625000000000001,14
LLCM_Flexible,RLCD,5000,1,0.7,16
LLCM_Flexible,LaHME,5000,1,0.4210526315789474,29
Measured1,RLCD,10000,1,0.7692307692307693,6
Measured2,RLCD,10000,1,0.41666666666666663,16
Measured2,LaHME,10000,1,0,27
Simple_Case_Tree,RLCD,10000,1,0.8,5
Simple_Case_Tree,LaHME,10000,1,0.4166666666666667,14
Tree_Case_Flexible,RLCD,10000,1,1,0
Tree_Case_Flexible,LaHME,10000,1,0.5625000000000001,14
Latent_Hierarchical_Structure,RLCD,10000,1,0.7272727272727272,9
Latent_Hierarchical_Structure,LaHME,10000,1,0.606060606060606,13
LLCM_Flexible,RLCD,10000,1,0.7,16
Measured1,RLCD,2000,2,0.7692307692307693,6
Measured1,LaHME,2000,2,0,28
Measured2,RLCD,2000,2,0.41666666666666663,16
Measured2,LaHME,2000,2,0,25
Simple_Case_Tree,RLCD,2000,2,0.8,5
Simple_Case_Tree,LaHME,2000,2,0.4166666666666667,14
Tree_Case_Flexible,RLCD,2000,2,1,0
Tree_Case_Flexible,LaHME,2000,2,0.4827586206896552,15
Latent_Hierarchical_Structure,RLCD,2000,2,0.7878787878787877,20
Latent_Hierarchical_Structure,LaHME,2000,2,0.2,24
LLCM_Flexible,RLCD,2000,2,0.4878048780487805,27
LLCM_Flexible,LaHME,2000,2,0.4444444444444445,26
Measured1,RLCD,5000,2,0.7692307692307693,6
Measured1,LaHME,5000,2,0,29
Measured2,RLCD,5000,2,0.41666666666666663,16
Measured2,LaHME,5000,2,0,27
Simple_Case_Tree,RLCD,5000,2,0.8,5
Simple_Case_Tree,LaHME,5000,2,0.4166666666666667,14
Tree_Case_Flexible,RLCD,5000,2,1,0
Tree_Case_Flexible,LaHME,5000,2,0.5517241379310344,13
Latent_Hierarchical_Structure,RLCD,5000,2,0.7272727272727272,9
Latent_Hierarchical_Structure,LaHME,5000,2,0.2,24
LLCM_Flexible,RLCD,5000,2,0.4878048780487805,25
Measured1,RLCD,10000,2,0.7692307692307693,6
Measured2,RLCD,10000,2,0.41666666666666663,16
Measured2,LaHME,10000,2,0,27
Simple_Case_Tree,RLCD,10000,2,0.8,5
Simple_Case_Tree,LaHME,10000,2,0.4166666666666667,14
Tree_Case_Flexible,RLCD,10000,2,1,0
Tree_Case_Flexible,LaHME,10000,2,0.5333333333333333,14
Latent_Hierarchical_Structure,RLCD,10000,2,0.7272727272727272,9
Latent_Hierarchical_Structure,LaHME,10000,2,0.7272727272727272,9
LLCM_Flexible,RLCD,10000,2,0.6341463414634146,18
LLCM_Flexible,LaHME,10000,2,0.5142857142857143,24
Measured1,RLCD,2000,3,0.7692307692307693,6
Measured1,LaHME,2000,3,0,30
Measured2,RLCD,2000,3,0.41666666666666663,16
Measured2,LaHME,2000,3,0,26
